,upz_id,x_coord,y_coord,zat_id,upz_name,local_name,local_id,population,median_income,circle_id,lat,lon,overlap_wrt_circle,overlap_wrt_upz
123,30,-74.106333,4.703251,185,BOYACA REAL,ENGATIVA,10,8118,3,53,4.6781,-74.1101,0.0001371042934582681,8.687606393688888e-05
124,30,-74.106333,4.703251,185,BOYACA REAL,ENGATIVA,10,8118,3,96,4.6941,-74.0838,0.03717020528761969,0.023552881165588294
125,30,-74.106333,4.703251,185,BOYACA REAL,ENGATIVA,10,8118,3,55,4.7101,-74.1101,0.1302820310883334,0.08255314094961508
126,30,-74.106333,4.703251,185,BOYACA REAL,ENGATIVA,10,8118,3,74,4.6781,-74.0924,0.033975208418156586,0.0215283730680784
127,30,-74.106333,4.703251,185,BOYACA REAL,ENGATIVA,10,8118,3,54,4.6941,-74.1191,0.18357276959416574,0.11632078956877305
128,30,-74.106333,4.703251,185,BOYACA REAL,ENGATIVA,10,8118,3,172,4.6141,-74.1983,0.0921746326727304,0.05840640784799918
129,30,-74.106333,4.703251,185,BOYACA REAL,ENGATIVA,10,8118,3,178,4.6141,-74.1807,0.03283363213232138,0.020805013850832273
130,31,-74.108515,4.683302,204,SANTA CECILIA,ENGATIVA,10,12422,3,74,4.6781,-74.0924,0.011101402920444,0.014834586351620785
131,31,-74.108515,4.683302,204,SANTA CECILIA,ENGATIVA,10,12422,3,53,4.6781,-74.1101,0.6737468788717051,0.9003147012483681
132,31,-74.108515,4.683302,204,SANTA CECILIA,ENGATIVA,10,12422,3,52,4.6621,-74.1191,0.002573886884663671,0.003439434414143427
133,31,-74.108515,4.683302,204,SANTA CECILIA,ENGATIVA,10,12422,3,75,4.6941,-74.1014,0.009064746137133345,0.012113041954290887
134,32,-74.071676,4.573171,493,SAN BLAS,SAN CRISTOBAL,4,5760,2,89,4.5821000000000005,-74.0748,0.07550446645751191,0.04080666662646207
135,32,-74.071676,4.573171,493,SAN BLAS,SAN CRISTOBAL,4,5760,2,88,4.5661000000000005,-74.0838,0.6225273099420362,0.33644717451209183
136,32,-74.071676,4.573171,493,SAN BLAS,SAN CRISTOBAL,4,5760,2,108,4.5661000000000005,-74.0661,0.26828325388178553,0.1449946713917521
137,32,-74.071676,4.573171,493,SAN BLAS,SAN CRISTOBAL,4,5760,2,87,4.5501000000000005,-74.0748,0.19309045178027012,0.10435644491288919
